image_path,effect,transition,line
huntingR1I1.jpg,vignette,none,Smell The first thing I notice
huntingR1I2.jpg,sepia,none,Body odor spiced cologne stench of evil
huntingR1I3.jpg,vignette,cross_dissolve,Im in danger
huntingR1I4.jpg,glitch,none,Adrenaline spikes Panic claws up my throat
huntingR1I5.jpg,blur_glow,cross_dissolve,I try to open my eyes
huntingR1I6.jpg,vignette,none,Darkness A blindfold straps my head
huntingR1I7.jpg,shake,cross_dissolve,Agony consumes me Every inch screams
huntingR1I8.jpg,sepia,none,I fing earned heavens gates
huntingR1I9.jpg,glitch,cross_dissolve,Dayas texts My car Then nothing
huntingR1I10.jpg,vignette,none,Now Im here Not safe
huntingR1I11.jpg,shake,cross_dissolve,Voices grow louder over my heartbeat
huntingR1I12.jpg,sepia,none,Z will be looking for her
huntingR1I13.jpg,glitch,cross_dissolve,They dragged me out My backs on fire
huntingR1I14.jpg,vignette,none,Ive been kidnapped The Societys doing
huntingR1I15.jpg,shake,cross_dissolve,Did they use Daya as bait
huntingR1I16.jpg,sepia,none,F I walked right into their trap
huntingR1I17.jpg,vignette,cross_dissolve,Zs girl worth millions on auction
huntingR1I18.jpg,shake,none,Leave evidence Zade taught me that
huntingR1I19.jpg,glitch,cross_dissolve,A brutal bump forces a cry from me
huntingR1I20.jpg,vignette,none,Welcome to the land of the living
huntingR1I21.jpg,sepia,cross_dissolve,Where are you taking me
huntingR1I22.jpg,vignette,none,To your new home Highest bidder wins
huntingR1I23.jpg,sepia,cross_dissolve,Great Ive hit the jackpot
huntingR1I24.jpg,vignette,none,Hold onto that humor baby girl
huntingR1I25.jpg,shake,cross_dissolve,A sharp prick Burning in my veins
huntingR1I26.jpg,glitch,none,My last breath escapes
huntingR1I27.jpg,vignette,cross_dissolve,Darkness descends
